,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
30,【潍坊市】山东省潍坊市青州市杨集林场2019年乡村振兴重大专项资金（省财政补助）青州市杨集林场护林房修复及路面硬化工程项目竞争性磋商公告,潍坊市青,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290595,招标,,,,,
31,【济南市】济南市儿童医院济南市儿童医院医疗设备采购公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290347,招标,,,,,
32,【济南市】征集文史资料、编纂《高新区历史文化通览》及所需印刷项目竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290308,招标,,,,,
33,【济南市】济南市公安局特警支队济南市公安局特警支队制服竞争性谈判公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290282,招标,,,,,
34,【烟台市】山东省烟台市龙口市住房和规划建设管理局高新技术企业创业园路灯电缆采购竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290208,招标,,,,,
35,【泰安市】山东省泰安市宁阳县鹤山镇人民政府宁阳县鹤山镇养老服务中心建设项目三次公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290088,招标,,,,,
36,【济南市】济南工程职业技术学院济南工程职业技术学院团队协作实训室设备竞争性谈判公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290047,招标,,,,,
37,【济南市】山东省济南西藏中学采购智慧校园平台竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290025,招标,,,,,
38,【济南市】济南市莱芜实验学校济南市莱芜实验学校物业管理服务竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290001,招标,,,,,
39,【济南市】济南职业学院济南职业学院6号公寓电缆迁移竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201289967,招标,,,,,
