,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,天津市静海经济开发区智能制造产业项目实施方案编制服务项目 (项目编号:KDCZ-2019-F107)竞争性磋商公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=163164704&ver=2,招标,,,,,
1,副食品配送资格入围项目招标公告,,http://tjgp.cz.tj.gov.cn/viewer.do?id=163139390&ver=2,招标,,,,,
2,天津市环境保护科技信息中心核安全与放射性污染监督管理信息系统开发项目（项目编号：TGPC-2019-D-0419）更正公告第2号,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=163135521&ver=2,招标,,,,,2019年11月15
3,天津市宝坻区机关事务服务中心采购公车保险项目 (项目编号:MLWH-BD-2019-10)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=163125469&ver=2,招标,,,,,
4,天津经济技术开发区西区办公室 西区河道增设在线处理设施工程（一期）（项目编号:ZWJ-TJ-XQ-2019003）更正公告,区西,http://tjgp.cz.tj.gov.cn/viewer.do?id=163122779&ver=2,招标,,,,,
5,天津市和平区市场监督管理局机关 天津市和平区市场监督管理局食堂外包服务（项目编号:TJZT-ZFCG-20190027）更正公告,和平区,http://tjgp.cz.tj.gov.cn/viewer.do?id=163119506&ver=2,招标,,,,,
6,天津市静海区人民法院机关  扫描仪3  合同公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=163109722&ver=2,招标,,,,,
7,天津市地质环境监测总站 天津地下水监测调查与评价2019年度地下水、土壤和植物样品检测分析测试 (项目编号:A2019-09-256-002)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=163078122&ver=2,招标,,,,,
8,天津北辰经济技术开发区管理委员会机关  开发区派出所治安巡逻队劳务外包服务项目_第1包 (项目编号: A2019-08-231-001  ) 合同公告,北辰,http://tjgp.cz.tj.gov.cn/viewer.do?id=163064003&ver=2,招标,,,,,
