,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,内蒙古工业大学新城校区建筑创新实验中心工程施工招标公告,内蒙古,http://ggzyjy.nmg.gov.cn/jyxx/jsgcZbggDetail?guid=960941c6-2a0b-45e1-9579-dcd112c844f2&isOther=false&type=1,招标,,,,2019年10月24,
1,内蒙古工业大学新城校区建筑创新实验中心工程监理招标公告,内蒙古,http://ggzyjy.nmg.gov.cn/jyxx/jsgcZbggDetail?guid=27dd85af-470f-4dfa-812f-43ed87dc2a92&isOther=false&type=1,招标,,,,2019年10月24,
2,内蒙古自治区赛罕强制隔离戒毒所建设项目施工监理招标公告,蒙古自治,http://ggzyjy.nmg.gov.cn/jyxx/jsgcZbggDetail?guid=7f1ba4c4-bd4b-4bc4-95ce-4d0a9fb5189c&isOther=false&type=1,招标,,,,,
3,内蒙古自治区赛罕强制隔离戒毒所建设项目施工招标公告,蒙古自治,http://ggzyjy.nmg.gov.cn/jyxx/jsgcZbggDetail?guid=8ca13764-01af-43c3-8bf6-ad8fc9046197&isOther=false&type=1,招标,,,,,
4,内蒙古自治区精神卫生中心迁建项目10kv供电工程招标公告,蒙古自治,http://ggzyjy.nmg.gov.cn/jyxx/jsgcZbggDetail?guid=a6d5459c-f50c-4a29-a18b-b5cac3bdd718&isOther=false&type=1,招标,,,,,
