,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国铁塔股份有限公司张家口市分公司2019年档案外包服务采购项目中标候选人公示,河北省,https://www.chengezhao.com/cms/channel/ywgg3fw/75697.htm,中标,,,,,
1,广发银行东莞分行现金清分外包服务项目项目招标公告,广东省,https://www.chengezhao.com/cms/channel/ywgg1fw/75695.htm,招标,,,2019年12月11,,
2,广州二运集团有限公司2020-2021年度车辆保险服务采购项目项目招标公告,广东省,https://www.chengezhao.com/cms/channel/ywgg1fw/75692.htm,招标,,,2017年1月1,,
3,广发银行股份有限公司苏州分行老大楼拆除复原及日晖苑部分复原工程项目招标公告,江苏省,https://www.chengezhao.com/cms/channel/ywgg1gc/75677.htm,招标,,,2016年1月1,,
4,交通银行股份有限公司广东省分行公务用车年度协议采购项目变更公告,广东省,https://www.chengezhao.com/cms/channel/ywgg2fw/75671.htm,招标,,,,,
5,2020-2021年中国联通潍坊市分公司综合维护部分业务外包服务集中招标项目(第二次）项目招标公告,山东省,https://www.chengezhao.com/cms/channel/ywgg1fw/75662.htm,招标,,,,,2019年12月13
6,2019年联通（广东）产业互联网有限公司防骚扰电话黑名单等软硬件应用产品招募项目入围候选人公示,广东省,https://www.chengezhao.com/cms/channel/ywgg3fw/75661.htm,招标,,,,,
7,合肥铁塔2019-2020年交流引入设计外包服务采购项目项目招标公告,安徽省,https://www.chengezhao.com/cms/channel/ywgg1fw/75658.htm,招标,,,2017年1月1,,
