,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
                                                天津钢铁堆取料机改造项目赛摩开关采购公告
                                            ",,http://www.bidcenter.com.cn/news-81062152-5.html,招标,,,,,
1,"
                                                天津钢铁堆取料机改造项目拉姆齐开关[0206YB1910240341]变更公告
                                            ",,http://www.bidcenter.com.cn/news-81057450-6.html,招标,,,,,
2,"
                                                长沙市天心区启卓·首府幼儿园大连金普新区龙祥小区幼儿园改造工程中标公告
                                            ",,http://www.bidcenter.com.cn/news-81033021-4.html,中标,,,,,
3,"
                                                新疆神信翻车机小区管材采购公告
                                            ",,http://www.bidcenter.com.cn/news-81024346-5.html,招标,,,,,
4,"
                                                河北中重冷轧开关采购公告
                                            ",,http://www.bidcenter.com.cn/news-81024341-5.html,招标,,,,,
