,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,广西桂西北治旱百色水库灌区工程建筑安装工程一切险、第三者责任保险及雇主责任险采购招标公告,广西壮族自治区百色市市辖区,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149682.html,招标,,,,,
1,广西正远电力工程建设监理有限责任公司2019-2020年度员工工作服采购项目 采购公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149684.html,招标,,,,,
2,广西漓昇电力建设有限责任公司车辆购置项目 采购公告,广西壮族自治区桂林市,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149641.html,招标,,,,,
3,广西桥巩水电站左岸厂房89.5米层蓄电池技改项目招标公告,广西壮族自治区来宾市,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149630.html,招标,,,,,
4,广西西江干流藤县乡村浔江左岸新安至保安段治理工程总承包招标公告,广西壮族自治区梧州市藤县,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149622.html,招标,,,,,
5,广西天等县古榕河向都镇万福寺河段整治工程项目施工招标公告,广西壮族自治区崇左市天等县,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149595.html,招标,,,,,
6,2019-2021年广西网欣物业服务有限责任公司劳务派遣服务项目采购公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/biddingBulletin/2019-10-29/149596.html,招标,,,,,
