,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,华晨汽车集团控股有限公司招标（采购）代理机构入围项目入围名单公示,辽宁省,http://www.bidchance.com/info-zhongbiao-29123924.html,中标,,,,,
1,电子产品自动在线测试仪ICT治具（JJ19001119）成交结果公告,辽宁省,http://www.bidchance.com/info-zhongbiao-29085480.html,中标,,,,,
2,2020年国网营口供电公司业务外包等服务招标采购项目中标候选人公示,辽宁省,http://www.bidchance.com/info-zhongbiao-29102671.html,中标,,,,,
3,中国一重大连前盐基地购买1000t喷砂、喷漆用电动平车项目中标候选人公示,辽宁省,http://www.bidchance.com/info-zhongbiao-29104411.html,中标,,,,,
4,春铁物流大屯物流基地地上物拆迁法律专项服务业务外包自行办理结果公示,沈阳市,http://www.bidchance.com/info-zhongbiao-29105615.html,中标,,,,,
5,大连市社会保险事业服务中心2019年社保卡制卡机维保采购项目中标公告,大连市,http://www.bidchance.com/info-zhongbiao-29105390.html,中标,,,,,
6,2019年苏家屯机务段高价互换配件C4修（二）业务外包（四次）竞争性或单一来源评审结果公示,沈阳市,http://www.bidchance.com/info-zhongbiao-29106499.html,中标,,,,,
7,营口市中级人民法院（涵盖县区）执行救助保险项目,辽宁省,http://www.bidchance.com/info-zhongbiao-29108097.html,中标,,,,,
8,大连银行财务管理系统建设项目采购结果公告,大连市,http://www.bidchance.com/info-zhongbiao-29109763.html,中标,,,,,
9,大连银行零售转型咨询项目采购结果公告,大连市,http://www.bidchance.com/info-zhongbiao-29109895.html,中标,,,,,
10,春铁物流通化宏达梅河口铁北农贸市场增设排风管道业务外包自行办理结果公示,沈阳市,http://www.bidchance.com/info-zhongbiao-29110104.html,中标,,,,,
11,ZTSYJ2019-CGS04842019年苏家屯机务段高价互换配件C4修（二）业务外包（四次）竞争性或单一来源评审结果公示,沈阳市,http://www.bidchance.com/info-zhongbiao-29112401.html,中标,,,,,
12,中国人民银行沈阳分行二代征信上线所需服务器采购项目成交结果公示,辽宁省,http://www.bidchance.com/info-zhongbiao-29112822.html,中标,,,,,
13,沈阳大东公共事业服务集团有限公司工程商入围中标候选人公示,辽宁省,http://www.bidchance.com/info-zhongbiao-29123932.html,中标,,,,,
