,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国移动广东公司2019年数据中心节能创新仿真测试服务公开比选项目（南方基地）_比选公告,广东省,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615572,招标,,,,,
1,中国移动江苏公司关于无锡分公司2019年IDC第三方质量测试评估服务(数据平台业务测试)的采购项目项目_比选公告,江苏省,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615476,招标,,,,,
2,山东移动2019年质量检测实验室仪器仪表（第二批）采购项目-机顶盒自动化测试_比选公告,山东省,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615624,招标,,,,,
3,中国移动通信集团终端有限公司2019-2020年软件系统代码外包项目购机直降专项_比选公告,,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615696,招标,,,,,
4,中国移动甘肃省白银分公司2019年白银市智慧教育示范工程软件开发服务采购项目_比选公告,甘肃省,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615702,招标,,,,,
5,黑龙江数字林草信息化项目（一期）-林草数据中心(机房设备及软件开发服务)（中移全通）采购项目_比选公告,黑龙江省,https://b2b.10086.cn/b2b/main/viewNoticeContent.html?noticeBean.id=615733,招标,,,,,
