,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国邮政储蓄银行云阳县支行营运用房中央空调改造工程（第二次）招标公告,云阳县,http://www.chinapost.com.cn/html1/report/19101/2007-1.htm,招标,,,2016年1月1,,
1,中国邮政储蓄银行股份有限公司厦门分行2020年信贷档案扫描等配套服务采购项目公开招标公告,厦门,http://www.chinapost.com.cn/html1/report/19101/2002-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,2019年11月19
2,中国邮政储蓄银行股份有限公司安徽省分行2019～2020年度个人金融部营销服务供应商入围项目招标公告,安徽省,http://www.chinapost.com.cn/html1/report/19101/1915-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,2019年10月24,
3,中国邮政储蓄银行长沙市分行网点保安人员外包服务招标公告,长沙市,http://www.chinapost.com.cn/html1/report/19101/1902-1.htm,招标,,,,,
4,中国邮政储蓄银行股份有限公司深圳分行自助设备轧帐外包及网点押钞采购项目（第二次）招标公告,深圳,http://www.chinapost.com.cn/html1/report/19101/1895-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,2019年1月1,,
5,中国邮政储蓄银行北京分行自助机具联网报警服务项目公开招标公告,北京,http://www.chinapost.com.cn/html1/report/19101/1893-1.htm,招标,,,,,
6,中国邮政储蓄银行北京分行网点及运营场地防入侵联网报警服务项目公开招标公告,北京,http://www.chinapost.com.cn/html1/report/19101/1891-1.htm,招标,,,,,
7,中国邮政储蓄银行齐齐哈尔市分行讷河市支行食堂食材（肉禽、蔬菜等）采购项目招标公告,齐齐哈尔,http://www.chinapost.com.cn/html1/report/19101/1866-1.htm,招标,,,,,2019年11月20
8,中国邮政储蓄银行股份有限公司黑河市分行安保服务采购项目招标公告,黑河市,http://www.chinapost.com.cn/html1/report/19101/1860-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,
