,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,扬中市人力资源和社会保障信息中心弱电信息化建设结果公告,扬中市,http://www.ccgp-jiangsu.gov.cn/ggxx/zbgg//zhenjiang/201911/t20191120_621159.html,中标,,,,,
1,江苏省公共信用信息中心“2020年省公共信用信息系统基础设施运维外包服...,江苏省,http://www.ccgp-jiangsu.gov.cn/ggxx/zbgg//shengji/201911/t20191120_621131.html,中标,,,,,
2,关于南京航空航天大学天目湖校区普通话测试、学习设备及系统项目采购的...,区普,http://www.ccgp-jiangsu.gov.cn/ggxx/zbgg//nanjing/201911/t20191120_621095.html,中标,,,,,
3,扬州经济技术开发区管委会西安交大科技园整体环境提升改造方案采购项目...,扬州,http://www.ccgp-jiangsu.gov.cn/ggxx/zbgg//yangzhou/201911/t20191120_620998.html,中标,,,,,
4,丹徒城区生活垃圾分类服务外包项目采购二次公告,城区,http://www.ccgp-jiangsu.gov.cn/ggxx/zbgg//zhenjiang/201911/t20191120_620926.html,中标,,,,,
