,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,吉林市中心医院X射线计算机断层扫描系统（CT)采购项目中标公告,吉林市,http://www.gc-zb.com/read-189383604,中标,,,,,
1,镇赉县肉牛养殖产业扶贫基地二期建设项目（二标）,镇赉县,http://www.gc-zb.com/read-189368756,中标,,,,,
2,吉林长春经济技术开发区东方广场街道办事处吸粪（污）车、电动三轮车、勾臂垃圾车及勾臂垃圾箱体采购中标公告更正,区东,http://www.gc-zb.com/read-189335520,中标,,,,,
3,国家能源集团新疆吉林台水电开发有限公司萨里克特水电站电力监控系统安全防护改造项目,吉林,http://www.gc-zb.com/read-189230396,中标,,,,,
4,镇赉县肉牛养殖产业扶贫基地二期建设项目二标段,镇赉县,http://www.gc-zb.com/read-189223508,中标,,,,,
5,通榆县素质教育实践基地拓展训练场人造草坪铺设工程项目中标公告,通榆县,http://www.gc-zb.com/read-189223458,中标,,,,,
6,长春经济技术开发区东方广场街道办事处吸粪（污）车、电动三轮车、勾臂垃圾车及勾臂垃圾箱体采购中标公告更正,区东,http://www.gc-zb.com/read-189210481,中标,,,,,
7,磐石市金昱投资发展有限公司吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目勘察中标公告,磐石市,http://www.gc-zb.com/read-189206272,中标,,,,,
8,磐石市金昱投资发展有限公司吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目初步设计中标公告,磐石市,http://www.gc-zb.com/read-189206229,中标,,,,,
9,磐石市金昱投资发展有限公司吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目方案设计中标公告,磐石市,http://www.gc-zb.com/read-189205463,中标,,,,,
10,长白朝鲜族自治县鸭绿江开发开放经济带十二道镇十二道沟村巷道改造项目,族自治县,http://www.gc-zb.com/read-189205200,中标,,,,,
11,长白朝鲜族自治县十二道沟镇人民政府长白朝鲜族自治县鸭绿江开发开放经济带十二道镇十二道沟村巷道改造项目中标公告,族自治县,http://www.gc-zb.com/read-189205046,中标,,,,,
12,车间机械设备安装工程入围项目结果公示,,http://www.gc-zb.com/read-189189205,中标,,,,,
13,吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目勘察中标结果公示,吉林,http://www.gc-zb.com/read-189163825,中标,,,,,
14,吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目初步设计中标结果公示,吉林,http://www.gc-zb.com/read-189106642,中标,,,,,
15,吉林磐石经济开发区磐石无抗生物产业园起步区二期建设项目方案设计中标结果公示,吉林,http://www.gc-zb.com/read-189105453,中标,,,,,
16,中国电信吉林公司2019年智慧人力系统智慧人力扩容项目中选人公示,吉林,http://www.gc-zb.com/read-188949375,中标,,,,,
17,吉林省烟草公司通化市公司机关司勤业务外包项目流标公告（三次）,吉林省,http://www.gc-zb.com/read-188925320,中标,,,,,
18,长春工程学院水泵汽蚀余量测定与汽蚀预防虚拟仿真实验开发项目中标公告,长春,http://www.gc-zb.com/read-188916507,中标,,,,,
19,中国邮政储蓄银行股份有限公司吉林省分行日常运营消耗用品框架入围采购项目中标公告,吉林省,http://www.gc-zb.com/read-188868698,中标,中国邮政储蓄银行股份有限公司,分行,,,
20,长春农村商业银行股份有限公司公开发行减记型合格二级资本债券聘请主承销商项目预中标结果公示,长春,http://www.gc-zb.com/read-188853605,中标,,,,,
21,长春工程学院水泵汽蚀余量测定与汽蚀预防虚拟仿真实验开发项目中标公示,长春,http://www.gc-zb.com/read-188780060,中标,,,,,
22,长春农村商业银行股份有限公司公开发行减记型合格二级资本债券聘请主承销商项目中标结果公示,长春,http://www.gc-zb.com/read-188775078,中标,,,,,
23,吉林省农村信用社联合社综合理财平台支持直销银行二期改造项目单一来源采购公示,吉林省,http://www.gc-zb.com/read-188627843,中标,,,,,
24,吉林省农村信用社联合社人行精准扶贫报送系统新接口规范联调测试项目单一来源采购公示,吉林省,http://www.gc-zb.com/read-188627561,中标,,,,,
