,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国进出口银行2019年度总行计算机采购项目招标结果公告,,http://tendering.sinosteel.com/zgzb/zbzq/005004/20191016/6ea34372-e351-4e67-8ba0-daf279216a02.html,中标,中国进出口银行,总行,,,
1,中国进出口银行报表系统2019年信息技术人员驻场开发服务项目成交结果公告,,http://tendering.sinosteel.com/zgzb/zbzq/005004/20191016/2086c7a9-2d5e-449f-a1d7-b14709166b71.html,中标,中国进出口银行,总行,,,
