,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,新疆浩诚致远项目管理咨询有限公司关于阿克苏经济技术开发区温州路安装变压器项目的中标(成交)结果公告,阿克苏市其他电能,http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement4/ZcyAnnouncement3004/2259216.html,中标,,,,,
1,会计专业实训基地建设项目成交结果公告,新疆维吾尔自治区本级其他不另分类的物品,http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement4/ZcyAnnouncement3004/2258927.html,中标,,,,,
2,物流管理专业实训基地建设项目成交结果公告,新疆维吾尔自治区本级其他不另分类的物品,http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement4/ZcyAnnouncement3004/2258879.html,中标,,,,,
3,昌吉回族自治州纤维检验所HVI大容量棉花纤维测试仪配件采购项目中标结果公告,昌吉回族自治州本级其他安全生产设备,http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement4/ZcyAnnouncement3004/2258527.html,中标,,,,,
