,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
46,中国人民银行周口市中心支行车辆保险服务采购项目-公开招标公告,河南,http://www.gc-zb.com/read-196009737.html,招标,,,,,
47,厦门务实-公开招标-2019-SH1006厦门边检总站银行基本户开设招标,福建,http://www.gc-zb.com/read-196005039.html,招标,,,,,
48,中国进出口银行四川省分行机房配电改造采购项目采购公告,四川,http://www.gc-zb.com/read-195991591.html,招标,中国进出口银行,分行,,,
49,中国进出口银行四川省分行17楼会议系统改造采购项目采购公告,四川,http://www.gc-zb.com/read-195986822.html,招标,中国进出口银行,分行,,,
50,四川仁寿农村商业银行股份有限公司网点安防达标改造项目招标公告,四川,http://www.gc-zb.com/read-195986242.html,招标,,,,,
51,中国邮政储蓄银行北京分行2019年二代身份证模块采购项目公开招标公告,北京,http://www.gc-zb.com/read-195981382.html,招标,,,,,
52,恒丰银行终端安全管理系统及安全云盘系统维保项目竞争性磋商公告,山东,http://www.gc-zb.com/read-195981233.html,招标,,,,,
53,中国银行东莞分行生产终端及其外设维保服务采购项目采购公告,广东,http://www.gc-zb.com/read-195969894.html,招标,,,,,
54,中国光大银行惠州分行四季度“全城光爱”信用卡莞惠城轨站厅包柱广告项目谈判邀请公告,广东,http://www.gc-zb.com/read-195969405.html,招标,,,,,
55,昆仑银行股份有限公司新一代法人信贷系统咨询项目-中标候选人公示,北京,http://www.gc-zb.com/read-195968841.html,中标,,,,,
56,交通银行股份有限公司数据中心系统运维大数据分析系统项目招标公告,上海,http://www.gc-zb.com/read-195968765.html,招标,,,,,
57,中国邮政储蓄银行浙江省分行2020-2022年度工程、货物及服务类招标代理服务的中标候选人公示,浙江,http://www.gc-zb.com/read-195966014.html,中标,,,,,
58,泸州银行股份有限公司原总部大楼物业服务项目投标邀请,四川,http://www.gc-zb.com/read-195965657.html,招标,,,,,
59,河北沧州农村商业银行股份有限公司异地灾备数据中心项目招标公告,河北,http://www.gc-zb.com/read-195964596.html,招标,,,,,
60,泸州银行股份有限公司成都分行营业部及离行式自助设备区域门禁系统改造项目竞争性磋商采购公告,四川,http://www.gc-zb.com/read-195964574.html,招标,,,,,
61,中国邮政储蓄银行股份有限公司河北省分行河北省电影院映前广告采购项目（二次）招标公告,河北,http://www.gc-zb.com/read-195963752.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
62,山东高青农村商业银行股份有限公司自助设备国密改造单一来源采购项目成交公告,山东,http://www.gc-zb.com/read-195962303.html,招标,,,,,
63,中国邮政储蓄银行股份有限公司开封市分行现金清分服务外包采购流标公告,河南,http://www.gc-zb.com/read-195962283.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
64,中国邮政储蓄银行重庆黔江分行彭水支行法律服务外聘采购合同签订公示,重庆,http://www.gc-zb.com/read-195962278.html,招标,,,,,
65,中国邮政储蓄银行重庆黔江分行法律服务外聘采购合同签订公示,重庆,http://www.gc-zb.com/read-195962273.html,招标,,,,,
66,中国邮政储蓄银行重庆黔江分行石柱支行法律服务外聘采购合同签订公示,重庆,http://www.gc-zb.com/read-195962271.html,招标,,,,,
67,中国邮政储蓄银行重庆黔江分行秀山支行法律服务外聘采购合同签订公示,重庆,http://www.gc-zb.com/read-195962266.html,招标,,,,,
68,中国邮政储蓄银行重庆黔江分行酉阳支行法律服务外聘采购合同签订公示,重庆,http://www.gc-zb.com/read-195962264.html,招标,,,,,
69,中国邮政储蓄银行浙江省分行招标代理服务入围采购项目中标候选人公示,浙江,http://www.gc-zb.com/read-195962253.html,中标,,,,,
70,中国邮政储蓄银行大公司板块综合营销体系建设咨询服务项目（二次）中标候选人公示,上海,http://www.gc-zb.com/read-195962231.html,中标,,,,,
71,山东高青农村商业银行股份有限公司自助设备维保服务单一来源采购项目成交公告,山东,http://www.gc-zb.com/read-195962226.html,招标,,,,,
72,中国邮政储蓄银行白金信用卡产品权益采购项目（二次）（01包-贵宾室/CIP通道服务）中标候选人公示,上海,http://www.gc-zb.com/read-195962215.html,中标,,,,,
73,中国邮政储蓄银行白金信用卡产品权益采购项目（二次）（02包-全国机场高铁接送服务）中标候选人公示,上海,http://www.gc-zb.com/read-195962211.html,中标,,,,,
74,中国邮政储蓄银行白金信用卡产品权益采购项目（二次）（04包-口腔护理服务）中标候选人公示,上海,http://www.gc-zb.com/read-195962204.html,中标,,,,,
75,中国邮政储蓄银行白金信用卡产品权益采购项目（二次）（06包-代驾服务）中标候选人公示,上海,http://www.gc-zb.com/read-195962199.html,中标,,,,,
76,中国邮政储蓄银行大公司板块综合营销体系建设咨询服务项目（二次）中标候选人公示,上海,http://www.gc-zb.com/read-195962188.html,中标,,,,,
77,青岛农商银行2020年主机存储设备维护服务采购中标结果公示,山东,http://www.gc-zb.com/read-195961987.html,中标,,,,,
78,中国邮政储蓄银行股份有限公司广元市分行2019年大客户联谊活动服务采购项目合同签订公示,四川,http://www.gc-zb.com/read-195961807.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
79,中国光大银行2019年第一批总行SAN存储设备扩容采购项目（第二次）询价公告,北京,http://www.gc-zb.com/read-196051220.html,招标,,,,,
80,中国邮政储蓄银行股份有限公司广元市分行2019年网络金融业务营销活动服务采购项目合同签订公示,四川,http://www.gc-zb.com/read-195961316.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
81,中国邮政储蓄银行股份有限公司宁波分行新大楼厨房设备采购与安装项目招标公告,浙江,http://www.gc-zb.com/read-195961250.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
82,中国人民银行宁波市中心支行发行库区和硬币清分中心及宁海、余姚支行新风系统采购及安装项目招标公告,浙江,http://www.gc-zb.com/read-195961243.html,招标,,,,,
83,中国邮政储蓄银行股份有限公司广元市分行2019年公司业务“拓客户、增余额”跨年度营销活动服务采购项目合同签订公示,四川,http://www.gc-zb.com/read-195961150.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
84,中国光大银行2019年第二批总行SAN存储设备扩容采购项目(第二次）询价公告,北京,http://www.gc-zb.com/read-196050895.html,招标,,,,,
85,中国邮政储蓄银行股份有限公司河北省分行ATM设备维保采购项目招标公告,河北,http://www.gc-zb.com/read-195959150.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
