,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,山西稷山农村商业银行股份有限公司新建档案室建设项目中标结果公示更正,运城市,http://www.sxbid.com.cn/f/view-d4bfee46e6ed452d82588dc17207a34b-6bcc4283cfdb4a58aeaddecfc80c5d6a.html?loginFlag=loginAndPayAndTime,中标,,,,,
1,运城市（盐湖区）廉政警示教育基地中标结果公示,运城市,http://www.sxbid.com.cn/f/view-d4bfee46e6ed452d82588dc17207a34b-342f55b0ab7a43788fee13e97ee31eed.html,中标,,,,,
2,山西盂县农村商业银行股份有限公司金融大厦营业部及机关服务大厅LED屏幕采购安装项目中标结果公示,阳泉市,http://www.sxbid.com.cn/f/view-d4bfee46e6ed452d82588dc17207a34b-fe13b55ff3cf48c991d06c064c00f2a4.html?loginFlag=loginAndPayAndTime,中标,,,,,
3,山西稷山农村商业银行股份有限公司新建档案室建设项目中标结果公示,运城市,http://www.sxbid.com.cn/f/view-d4bfee46e6ed452d82588dc17207a34b-a0aa7df0d9a7487db530a20af0537811.html?loginFlag=loginAndPayAndTime,中标,,,,,
4,中国人民银行晋城市中心支行工程造价咨询相关服务采购项目谈判采购成交公告,晋城市,http://www.sxbid.com.cn/f/view-b18c9f09c5b2476cb08db02884511b9b-ae1d72ed5fd24fd5a36babfbd6183d71.html?loginFlag=loginAndPayAndTime,中标,,,,,
5,中国人民银行晋城市中心支行LED显示屏采购项目谈判采购成交公告,晋城市,http://www.sxbid.com.cn/f/view-b18c9f09c5b2476cb08db02884511b9b-73001d480f2442318edf5a0aa0371e61.html?loginFlag=loginAndPayAndTime,中标,,,,,
