,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
											中化农业信息化系统运维、开发及业务运营供应商入围项目招标公告
										",,http://e.sinochemitc.com/cms/channel/ywgg1fw/80354.htm,招标,,,,,
1,"
											上海飞机制造有限公司飞行员周围温度测试记录系统项目公告
										",上海市,http://e.sinochemitc.com/cms/channel/ywgg1hw/80350.htm,招标,,,,,
2,"
											世界银行贷款新疆职业教育建设项目新疆维吾尔医学专科学校大学生心理健康与咨询室设备项目公告(变更)
										",新疆维吾尔自治区,http://e.sinochemitc.com/cms/channel/ywgg1hw/80345.htm,招标,,,2019年11月1,,
3,"
											中化石油销售有限公司2019至2021年度盘点枪、POS机、手持智能POS机供应商入围项目公告
										",,http://e.sinochemitc.com/cms/channel/ywgg1hw/80343.htm,招标,,,,,
4,"
											中华人民共和国宝山海事局2020年船舶作业与维护管理项目外包项目公告
										",上海市,http://e.sinochemitc.com/cms/channel/ywgg1fw/80322.htm,招标,,,,,2019年12月19
