,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,内蒙古自治区体育局武川训练基地管理中心货物采购中标（成交）公告,内蒙古自治区,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117614,中标,,,,,
1,土默特右旗扶贫开发办公室2016年、2018年建设工程造价审计服务采购结果公告,包头市,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117599,中标,,,,,
2,二连浩特边境经济合作区管理委员会二连浩特边合区“小组团”滚动开发综合研究咨询服务中标（成交）公告,二连浩特市,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117589,中标,,,,,
3,内蒙古自治区药品器械集中采购服务中心软件开发服务中标（成交）公告,内蒙古自治区,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117527,中标,,,,,
4,兴安盟经济技术开发区企业服务中心工程准备中标（成交）公告,兴安盟,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117496,中标,,,,,
5,锡林浩特市扶贫开发办公室风光互补发电设备中标（成交）公告,锡林郭勒盟,http://www.nmgp.gov.cn/category/cggg?tb_id=3&p_id=117489,中标,,,,,
