,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,牡丹江市人防工程维护管理站与绥芬河市强盛房地产开发有限责任公司再审案件民事委托项目询价公告,牡丹江市,https://zb.zhaobiao.cn/bidding_v_47014034.html,招标,,,,,
1,中国邮政储蓄银行股份有限公司鹤岗市分行人民币现钞处理业务委托服务项目,鹤岗市,https://zb.zhaobiao.cn/bidding_v_46996608.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
2,黑龙江职业学院_购在线课程资源开发制作（旅游与人文艺术学院采购及服务_SC[2019]5373竞争性磋商公告,黑龙江,https://zb.zhaobiao.cn/bidding_v_47002308.html,招标,,,,,
3,黑龙江技术开发公司车辆处置评估服务询价采购询价公告,黑龙江,https://zb.zhaobiao.cn/bidding_v_47002741.html,招标,,,,,
4,大庆雪龙石化技术开发有限公司2019年零购项目氦离子色谱仪采购招标方案（二次）,大庆,https://zb.zhaobiao.cn/bidding_v_47012095.html,招标,,,,,
5,黑龙江省烟草公司鹤岗市公司小零散定点供应商入围项目招标公告,黑龙江省,https://zb.zhaobiao.cn/bidding_v_47024462.html,招标,,,,,
6,[2019FWGK4298]气测资料数据处理软件系统开发,,https://zb.zhaobiao.cn/bidding_v_47025752.html,招标,,,,,
7,宝清县砂石土资源开发利用专项规划（2019-2025年）编制项目招标公告,宝清县,https://zb.zhaobiao.cn/bidding_v_47026385.html,招标,,,,,
