,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
30,"
山西省文化和旅游厅山西省旅游扶贫示范村旅游扶贫开发方案编制项目成交公告
",山西,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201911/t20191128_13445707.htm,招标,,,,,
31,"
首都医科大学宣武医院工会平台入围及物资采购项目公开招标公告
",北京,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191128_13445682.htm,招标,,,,,2019年12月19
32,"
工业和信息化部电子第五研究所普元应用开发平台软件(EOSPlatform)项目成交公告
",广东,http://www.ccgp.gov.cn/cggg/zygg/cjgg/201911/t20191128_13445821.htm,招标,,,,,
33,"
烟台市公安局经济技术开发区分局指挥中心配电室工程中标公告
",山东,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191128_13445609.htm,中标,,,,,
34,"
枣庄市教育局机关校（园）方责任保险经纪服务采购项目中标公告
",山东,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191128_13445551.htm,中标,,,,,
35,"
河北东光经济开发区管理委员会开发区包装和制造园区B区给水工程更正公告
",河北,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201911/t20191128_13445579.htm,招标,,,,,
36,"
国家信息技术安全研究中心某系统测试单一来源采购项目成交公告
",北京,http://www.ccgp.gov.cn/cggg/zygg/cjgg/201911/t20191128_13445498.htm,招标,,,,,
37,"
伊吾县政府投资项目代建管理办公室伊吾县山南开发区村级巷道亮化工程成交公告
",新疆,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201911/t20191128_13445515.htm,招标,,,,,
38,"
山东省烟台市本级烟台职业学院产教融合工程实训基地配电项目中标公告
",山东,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191128_13445524.htm,中标,,,,,
39,"
四川天府新区成都管理委员会基层治理和社会事业发展局医保智能辅助审核复审业务外包服务采购项目比选公告
",四川,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201911/t20191128_13445460.htm,招标,,,,,
